project_id;committer;time;additions;deletions
12;10;2318;107;25
12;13;2319;7;0
12;10;2316;28;0
12;12;2316;0;37
12;10;2318;80;62
12;8;2316;1;0
12;12;2316;1;0
12;9;2316;13;11
12;9;2316;17;13
12;10;2315;9;11
12;12;2315;0;16
12;10;2316;32;0
12;13;2315;26;95
12;10;2315;135;327
12;12;2315;73;6
12;10;2315;30;84
12;12;2315;3815;328
12;10;2315;3766;35
12;8;2314;1;1
12;10;2315;0;16
12;9;2314;3815;328
12;8;2314;2;2
12;10;2314;233;84
12;10;2398;35;0
12;8;2314;2;2
12;14;2293;35;0
12;10;2398;3206;1166
12;10;2292;920;1022
12;10;2292;31004;876
12;10;2292;27018;0
12;10;2292;4121;22401
12;12;2293;35;0
12;10;2289;18471;2527
12;12;2280;160;123
12;9;2314;5;5
12;10;2364;2544;2544
12;10;2363;1;1
12;10;2292;472;427
12;10;2362;2564;2518
12;10;2341;0;19
12;10;2341;0;19
12;10;2340;7;11
12;10;2341;0;19
12;8;2338;3;3
12;12;2363;2;2
12;10;2340;8;10
12;12;2318;25;1
12;8;2276;1;2
12;12;2319;10;1
12;8;2276;40;7
12;10;2340;7;11
12;10;2271;1;1
12;10;2271;2;0
12;8;2275;11;3
12;8;2275;2;0
12;10;2253;32;34
12;10;2253;936;573
12;8;1621;7;0
12;8;1621;22;0
12;8;1620;47;5
12;8;1624;3;2
12;8;1617;13;24
12;12;1599;28;30
12;8;1598;1;0
12;13;1598;5;13
12;8;1598;1;0
12;13;1598;11;0
12;8;2275;1;0
12;12;1598;375;50
12;12;1598;665;96
12;13;1598;11;3
12;8;1598;6;14
12;10;1598;375;50
12;8;1597;1;1
12;13;1597;5;5
12;13;1596;7;568
12;8;1596;40;19
12;13;1597;126;0
12;8;1596;567;0
12;13;1596;123;93
12;13;1598;19;4
12;12;1595;55;32
12;10;1595;9;1
12;12;1595;0;1
12;13;1596;9;1
12;10;1593;294;2
12;11;1583;19;24
12;10;1593;449;53
12;8;1575;7;9
12;8;1593;18;2
12;12;1573;56;2
12;12;1576;325;10
12;13;1572;15;15
12;13;1572;29;16
12;10;1573;56;2
12;13;1575;64;29
12;10;1571;0;0
12;12;1570;1114;83
12;10;1571;0;0
12;10;1571;2;4
12;13;1570;0;17
12;10;1550;337;24
12;8;1569;1;1
12;10;1569;0;17
12;10;1550;1117;90
12;12;1550;127;46
12;8;1531;32;24
12;13;1570;2;4
12;8;1531;9;0
12;8;1529;17;0
12;12;1529;325;16
12;10;1529;1;1
12;10;1529;1;1
12;10;1522;3;3
12;10;1646;672;230
12;8;1531;9;0
12;8;1526;50;0
12;10;1641;0;78
12;10;1634;699;103
12;10;1625;90;62
12;12;1493;189;37
12;10;1621;436;651
12;10;1624;1;1
12;12;1636;84;0
12;10;1625;90;62
12;10;1621;1094;431
12;10;1621;34;34
12;9;1599;83;28
12;9;1599;127;40
12;8;1623;1;1
12;9;1617;27;138
12;12;1594;24;20
12;10;1594;9;8
12;8;1594;2;2
12;8;1594;29;2
12;8;1594;1;1
12;9;1593;310;501
12;15;1576;384;160
12;8;1593;1;1
12;8;1593;19;5
12;8;1593;27;14
12;10;1576;184;3512
12;10;1576;3512;0
12;8;1595;1;1
12;10;1576;1089;22
12;10;1576;0;0
12;10;1576;11;0
12;10;1576;10;10
12;12;1573;2848;243
12;10;1576;0;0
12;9;1574;275;199
12;12;1573;434;268
12;12;1573;13;83
12;10;1572;0;0
12;12;1572;59;25
12;12;1570;11;0
12;13;1569;0;58
12;10;1572;0;0
12;9;1569;217;69
12;10;1558;896;420
12;13;1569;0;15
12;8;1556;3;1
12;9;1569;21;23
12;8;1556;2;1
12;8;1556;1141;12
12;8;1556;48;0
12;12;1570;0;11
12;8;1556;47;0
12;8;1556;46;0
12;10;1653;42;0
12;8;1555;4;4
12;10;1630;4;2
12;10;1627;2622;0
12;10;1630;91;3519
12;10;1622;2590;0
12;9;1620;27;25
12;9;1619;55;23
12;10;1622;32;0
12;10;1619;855;0
12;10;1619;4209;0
12;9;1619;12;41
12;8;1556;1;2
12;9;1619;91;0
12;8;1618;855;0
12;13;1601;29;25
12;13;1601;69;0
12;9;1601;52;0
12;13;1601;0;0
12;8;1618;16;8
12;12;1601;855;0
12;15;1599;371;16
12;9;1600;52;0
12;9;1599;138;0
12;9;1599;18;0
12;8;1599;138;0
12;8;1599;2;0
12;9;1599;16;6
12;13;1601;0;0
12;9;1599;12;4
12;9;1599;50;46
12;8;1598;74;0
12;8;1599;22;0
12;9;1598;88;28
12;8;1599;20;0
12;9;1597;12;16
12;9;1596;293;12
12;13;1596;4;0
12;13;1597;29;25
12;13;1595;69;0
12;12;1595;3;0
12;12;1595;0;1
12;13;1594;0;0
12;12;1595;2;0
12;13;1594;9;0
12;13;1594;9;0
12;10;1593;3522;9
12;10;1593;128;11
12;10;1575;0;0
12;13;1594;0;0
12;10;1575;0;0
12;10;1575;0;0
12;10;1573;4;1
12;8;1599;20;0
12;10;1573;49;0
12;8;1573;1;0
12;12;1573;4;1
12;10;1575;0;0
12;13;1572;12;1
12;8;1573;3;0
12;8;1572;3;0
12;8;1573;0;0
12;8;1572;4;1
12;10;1572;1;1
12;13;1572;1;1
12;8;1572;2;0
12;10;1572;2;0
12;13;1572;4;0
12;8;1572;1;0
12;13;1572;0;4
12;13;1572;1;1
12;13;1572;4;0
12;13;1571;1;2
12;9;1571;0;0
12;9;1571;7;0
12;13;1571;0;0
12;10;1572;4;1
12;13;1571;0;1
12;13;1571;0;0
12;13;1571;1;0
12;13;1571;0;0
12;13;1571;3;0
12;13;1570;2;1
12;13;1570;1;2
12;10;1524;1;0
7;16;3060;35497;0
7;16;3060;27727;604
7;16;3060;35497;0
7;16;3060;27727;604
7;16;3041;0;0
7;16;3041;0;0
7;16;3022;1067;1242
7;16;3021;3;0
7;16;3022;1;1
7;16;3021;572;4
7;16;3020;40;4
7;16;3018;235;18
7;16;3017;15;814
7;16;3019;30;8
7;17;3016;31;8
7;17;3014;3654;2471
7;16;3017;182;404
7;16;3009;1126;363
7;16;3009;0;0
7;16;3013;346;2
7;17;2249;0;0
7;17;2248;1023;37
7;16;2248;0;0
7;16;2248;147;151
7;17;2249;0;0
7;17;2248;0;0
7;16;2248;460;1034
7;17;2248;0;0
7;16;2245;18;3
7;16;2243;1451;1502
7;16;2366;1;1
7;16;2366;253;272
7;17;2366;0;0
7;17;2248;0;0
7;16;2365;1248;486
7;16;3014;31;8
7;16;2320;31;31
7;17;2323;1023;37
7;16;2320;992;6
7;17;2319;5603;2740
7;16;2366;27;89
7;16;2319;3080;1996
7;16;2316;203;0
7;16;2338;38;29
7;16;2316;0;0
7;16;2316;396;1
7;16;2316;157;278
7;16;2315;1703;481
7;16;2315;7;4
7;16;2316;109;87
7;16;2318;90;35
7;17;2267;593;137
7;17;2271;1;2
7;17;2337;45;204
7;16;2315;1;0
7;17;2337;2;0
7;17;2315;41;76
7;16;2315;41;76
7;17;2315;1;18
7;16;2316;64;41
7;16;2314;1;18
7;17;2313;6251;240
7;16;2314;71;44
7;16;2314;103;59
7;16;2314;420;38
7;18;2314;71;5
7;16;2313;1489;760
7;16;2315;2;1
7;16;2299;258;135
7;16;2294;4389;140
7;16;2294;0;48
7;16;2294;203;0
7;16;2294;0;48
7;16;2313;339;108
7;16;2293;49;260
7;16;2294;0;48
7;16;2293;259;0
7;17;2279;283;174
7;16;2293;259;0
7;16;2294;0;48
7;16;2293;0;259
7;17;2291;9;13
7;18;2270;5;5
7;17;1623;80;6
7;19;2265;653;583
7;18;2270;7;7
7;17;2257;137;30
7;18;1622;133;175
7;18;1620;441;0
7;18;1619;203;43
7;17;1601;24;17
7;20;1622;85;101
7;20;1598;1030;505
7;18;1597;443;0
7;19;1597;0;13
7;17;1598;119;21
7;18;1597;8;447
7;19;1597;356;98
7;20;1597;142;218
7;18;1596;0;0
7;20;1597;93;70
7;18;1596;0;0
7;18;1596;0;585
7;18;1596;74;18
7;18;1596;55;241
7;18;1596;504;1304
7;17;1596;90;180
7;18;1596;0;82
7;20;1596;176;154
7;17;1596;18;14
7;18;1596;89;223
7;18;1622;9;1
7;18;1596;5;5
7;18;1596;2;2
7;18;1596;8;8
7;16;1595;74;18
7;18;1595;0;0
7;16;1595;374;55
7;18;1595;228;0
7;17;1595;0;154
7;18;1595;0;0
7;20;1595;376;56
7;17;1595;154;101
7;18;1595;270;3
7;16;1593;0;154
7;18;1575;258;836
7;20;1574;228;0
7;20;1594;150;168
7;20;1593;244;195
7;20;1574;61;25
7;16;1574;20;4
7;16;1574;0;14
7;16;1574;84;18
7;18;1573;2;3
7;16;1574;39;40
7;20;1573;209;33
7;16;1573;14;1
7;18;1573;3740;95
7;19;1572;270;3
7;19;1572;549;66
7;18;1595;2;0
7;17;1572;239;0
7;20;1572;1642;89
7;16;1572;84;18
7;20;1572;2;2
7;20;1571;1080;49
7;19;1570;1645;89
7;16;1565;0;0
7;18;1571;84;18
7;16;1565;14;0
7;17;1548;0;1
7;16;1548;1;0
7;16;1548;0;1
7;16;1548;31;17
7;17;1548;177;0
7;16;1548;1;0
7;17;1547;176;1
7;16;1547;43;7
7;16;1547;1;0
7;16;1547;1;0
7;17;1547;108;110
7;16;1547;108;110
7;16;1547;108;110
7;18;1596;2;2
7;21;1505;63;9
7;16;1655;7;0
7;16;1489;150;0
7;16;1514;45;63
7;16;1655;2;0
7;16;1655;3;1
7;16;1649;0;0
7;16;1632;33;0
7;18;1622;33;0
7;17;1622;29;4
7;16;1621;14;2
7;16;1655;11;6
7;18;1620;290;24
7;20;1620;1607;147
7;16;1618;1;1
7;16;1618;169;21
7;16;1618;0;0
7;17;1618;1;0
7;17;1618;49;0
7;16;1618;1;0
7;17;1618;248;1
7;17;1618;49;0
7;16;1618;49;0
7;17;1618;38;16
7;17;1599;26;10
7;16;1596;18;7
7;17;1595;43;15
7;16;1594;104;0
7;17;1575;92;70
7;16;1572;1;1
7;16;1594;31;0
7;16;1572;120;1
7;16;1572;0;0
7;16;1572;1;1
7;16;1572;12;2
7;18;1571;30;12
7;16;1571;120;1
7;16;1573;0;31
7;16;1570;17;1
7;17;1570;104;0
7;18;1571;104;0
7;18;1570;129;146
7;17;1570;62;35
7;16;1570;109;146
7;20;1571;133;0
7;18;1623;102;2
7;17;1623;40;121
7;17;1622;79;62
7;16;1622;20;0
7;18;1621;1;0
7;18;1621;0;0
7;18;1621;8;0
7;16;1620;2;2
7;16;1619;55;3
7;17;1619;290;74
7;17;1619;3;0
7;19;1570;104;0
7;16;1619;0;0
7;16;1619;3;1
7;18;1619;0;0
7;18;1619;2;1
7;16;1621;8;0
7;18;1619;0;7
7;18;1619;3;3
7;18;1619;7;0
7;18;1619;3;3
7;18;1619;0;7
7;18;1619;7;0
7;18;1619;6;3
7;18;1619;0;1
7;18;1619;0;0
7;18;1619;0;1
7;18;1619;3;0
7;18;1619;3;3
7;18;1619;0;0
7;18;1619;0;7
7;18;1619;7;0
7;18;1619;6;3
7;18;1619;0;0
7;16;1619;3;0
7;18;1618;70;22
7;18;1618;0;0
7;18;1618;0;0
7;18;1618;0;0
7;18;1618;8;3
7;18;1618;0;7
7;18;1618;7;0
7;18;1618;15;12
7;18;1618;0;0
7;18;1618;0;1
7;16;1597;0;1
7;16;1597;1;1
7;16;1618;7;10
7;16;1618;0;0
7;18;1597;0;0
7;16;1597;60;9
7;18;1619;3;3
7;16;1597;23;13
7;18;1595;8;3
7;16;1596;2;0
7;16;1596;21;14
7;18;1595;0;7
7;16;1619;2;1
7;16;1597;0;2
7;18;1594;9;43
7;18;1594;1;0
7;18;1593;15;12
7;16;1593;55;0
7;16;1577;46;0
7;16;1577;0;11
7;18;1595;0;1
7;16;1576;0;49
7;16;1576;0;38
7;18;1576;28;17
7;18;1576;67;0
7;17;1575;98;0
7;18;1575;31;0
7;16;1574;0;0
7;16;1574;0;1
7;16;1574;0;0
7;16;1574;63;0
7;16;1574;1;0
7;16;1574;0;0
7;16;1574;0;19
7;16;1573;19;0
7;16;1574;1;1
7;16;1573;0;1
7;16;1573;1;0
7;16;1593;9;0
7;16;1572;0;1
7;16;1573;3;4
7;16;1572;36;0
7;16;1572;1;0
7;17;1571;35;0
7;16;1570;5;0
7;16;1570;0;1
7;16;1570;18;0
7;16;1569;0;0
7;16;1569;0;0
7;16;1569;0;0
7;22;1549;0;0
7;23;1549;0;0
7;16;1526;0;0
7;16;1526;0;0
7;23;1549;0;0
7;16;1526;0;0
7;16;1570;0;0
7;16;1569;0;0
7;17;1574;0;0
7;17;1521;0;0
23;24;3060;0;0
23;25;3024;0;0
23;24;3060;13347;3
23;26;3023;0;0
23;26;3023;0;0
23;27;3023;42470;14411
23;28;3023;42460;14407
23;27;3023;0;0
23;26;3023;0;0
23;28;3023;0;0
23;25;3022;0;0
23;25;3023;0;0
23;25;3022;0;0
23;26;3023;13;0
23;24;3022;0;0
23;24;3022;13;0
23;24;3018;25051;7
23;24;3020;13;0
23;24;3018;7;1
23;24;3017;8;2
23;24;3017;17345;14399
23;28;3017;8;2
23;24;3019;44;0
23;24;3017;1;1
23;24;3017;1;1
23;28;3017;0;0
23;28;3017;14;5
23;28;3017;141;53
23;28;3017;1;1
23;27;3017;363;353
23;25;3016;0;0
23;28;3016;0;0
23;24;3015;0;1
23;25;3015;0;0
23;24;3015;176;40
23;26;3015;68;8
